date,total
2019-04-19 00:00:00,73
2019-04-19 01:00:00,45
2019-04-19 02:00:00,29
2019-04-19 03:00:00,26
2019-04-19 04:00:00,29
2019-04-19 05:00:00,29
2019-04-19 06:00:00,220
2019-04-19 07:00:00,372
2019-04-19 08:00:00,437
2019-04-19 09:00:00,407
2019-04-19 10:00:00,418
2019-04-19 11:00:00,491
2019-04-19 12:00:00,274
2019-04-19 13:00:00,540
2019-04-19 14:00:00,584
2019-04-19 15:00:00,155
2019-04-19 16:00:00,101
2019-04-19 17:00:00,156
2019-04-19 18:00:00,151
2019-04-19 19:00:00,182
2019-04-19 20:00:00,148
2019-04-19 21:00:00,134
2019-04-19 22:00:00,136
2019-04-19 23:00:00,89
2019-04-20 00:00:00,133
2019-04-20 01:00:00,94
2019-04-20 02:00:00,73
2019-04-20 03:00:00,99
2019-04-20 04:00:00,106
2019-04-20 05:00:00,209
2019-04-20 06:00:00,152
2019-04-20 07:00:00,207
2019-04-20 08:00:00,166
2019-04-20 09:00:00,242
2019-04-20 10:00:00,440
2019-04-20 11:00:00,313
2019-04-20 12:00:00,778
2019-04-20 13:00:00,1393
2019-04-20 14:00:00,678
2019-04-20 15:00:00,590
2019-04-20 16:00:00,737
2019-04-20 17:00:00,819
2019-04-20 18:00:00,732
2019-04-20 19:00:00,837
2019-04-20 20:00:00,536
2019-04-20 21:00:00,678
2019-04-20 22:00:00,594
2019-04-20 23:00:00,506
2019-04-21 00:00:00,443
2019-04-21 01:00:00,354
2019-04-21 02:00:00,364
2019-04-21 03:00:00,423
2019-04-21 04:00:00,480
2019-04-21 05:00:00,589
2019-04-21 06:00:00,803
2019-04-21 07:00:00,800
2019-04-21 08:00:00,1007
2019-04-21 09:00:00,1300
2019-04-21 10:00:00,1235
2019-04-21 11:00:00,1081
2019-04-21 12:00:00,1110
2019-04-21 13:00:00,1053
2019-04-21 14:00:00,1075
2019-04-21 15:00:00,647
2019-04-21 16:00:00,446
2019-04-21 17:00:00,504
2019-04-21 18:00:00,724
2019-04-21 19:00:00,703
2019-04-21 20:00:00,741
2019-04-21 21:00:00,525
2019-04-21 22:00:00,574
2019-04-21 23:00:00,651
2019-04-22 00:00:00,793
2019-04-22 01:00:00,764
2019-04-22 02:00:00,765
2019-04-22 03:00:00,819
2019-04-22 04:00:00,973
2019-04-22 05:00:00,1313
2019-04-22 06:00:00,1399
2019-04-22 07:00:00,1638
2019-04-22 08:00:00,1687
